Financiera,Mes,Valor
ABC,"Enero, 24",0.0
AFIRME,"Enero, 24",0.0
BANORTE,"Enero, 24",0.0
BBVA,"Enero, 24",0.0
ENSUEÑO,"Enero, 24",0.0
FINANMADRID,"Enero, 24",0.0
INBURSA,"Enero, 24",0.0
MSTART,"Enero, 24",0.0
NEXU,"Enero, 24",0.0
SANTANDER,"Enero, 24",0.0
SCOTIABANK,"Enero, 24",0.0
SUMAFIN,"Enero, 24",0.0
BAJIO,"Enero, 24",0.0
KUNA,"Enero, 24",0.0
ABC,"Febrero, 24",0.0
AFIRME,"Febrero, 24",0.0
BANORTE,"Febrero, 24",0.0
BBVA,"Febrero, 24",0.0
ENSUEÑO,"Febrero, 24",0.0
FINANMADRID,"Febrero, 24",0.0
INBURSA,"Febrero, 24",0.0
MSTART,"Febrero, 24",0.0
NEXU,"Febrero, 24",0.0
SANTANDER,"Febrero, 24",0.0
SCOTIABANK,"Febrero, 24",0.0
SUMAFIN,"Febrero, 24",0.0
BAJIO,"Febrero, 24",0.0
KUNA,"Febrero, 24",0.0
ABC,"Marzo, 24",0.0
AFIRME,"Marzo, 24",0.0
BANORTE,"Marzo, 24",0.0
BBVA,"Marzo, 24",0.0
ENSUEÑO,"Marzo, 24",0.0
FINANMADRID,"Marzo, 24",0.0
INBURSA,"Marzo, 24",0.0
MSTART,"Marzo, 24",0.0
NEXU,"Marzo, 24",0.0
SANTANDER,"Marzo, 24",0.0
SCOTIABANK,"Marzo, 24",0.0
SUMAFIN,"Marzo, 24",0.0
BAJIO,"Marzo, 24",0.0
KUNA,"Marzo, 24",0.0
ABC,"Abril, 24",0.0
AFIRME,"Abril, 24",0.0
BANORTE,"Abril, 24",0.0
BBVA,"Abril, 24",0.0
ENSUEÑO,"Abril, 24",0.0
FINANMADRID,"Abril, 24",0.0
INBURSA,"Abril, 24",0.0
MSTART,"Abril, 24",0.0
NEXU,"Abril, 24",0.0
SANTANDER,"Abril, 24",0.0
SCOTIABANK,"Abril, 24",0.0
SUMAFIN,"Abril, 24",0.0
BAJIO,"Abril, 24",0.0
KUNA,"Abril, 24",0.0
ABC,"Mayo, 24",0.0
AFIRME,"Mayo, 24",0.0
BANORTE,"Mayo, 24",0.0
BBVA,"Mayo, 24",0.0
ENSUEÑO,"Mayo, 24",0.0
FINANMADRID,"Mayo, 24",0.0
INBURSA,"Mayo, 24",0.0
MSTART,"Mayo, 24",0.0
NEXU,"Mayo, 24",0.0
SANTANDER,"Mayo, 24",0.0
SCOTIABANK,"Mayo, 24",0.0
SUMAFIN,"Mayo, 24",0.0
BAJIO,"Mayo, 24",0.0
KUNA,"Mayo, 24",0.0
ABC,"Junio, 24",0.0
AFIRME,"Junio, 24",0.0
BANORTE,"Junio, 24",0.0
BBVA,"Junio, 24",0.0
ENSUEÑO,"Junio, 24",0.0
FINANMADRID,"Junio, 24",0.0
INBURSA,"Junio, 24",0.0
MSTART,"Junio, 24",0.0
NEXU,"Junio, 24",0.0
